City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nyurba,63.2842,118.3319,60.71,68,94,4.27,RU,1626040160
kenai,60.5544,-151.2583,61.09,55,75,20.71,US,1626040160
guerrero negro,27.9769,-114.0611,78.15,54,13,19.39,MX,1626040160
gilgit,35.9221,74.3087,80.74,60,12,1.92,PK,1626040161
los llanos de aridane,28.6585,-17.9182,73.13,83,20,16.11,ES,1626040161
alofi,-19.0595,-169.9187,80.49,83,7,10.36,NU,1626040161
makat,47.6469,53.3463,79.68,47,9,8.08,KZ,1626040161
sorland,67.667,12.6934,59.07,97,100,21.23,NO,1626040162
kidal,18.4411,1.4078,91.87,31,67,8.72,ML,1626040162
goderich,43.7501,-81.7165,73.56,64,100,9.22,CA,1626040162
bualan,7.75,124.2667,66.87,95,79,2.15,PH,1626040162
qaanaaq,77.484,-69.3632,38.95,66,49,2.66,GL,1626040162
kruisfontein,-34.0033,24.7314,48.13,55,0,3.27,ZA,1626040163
vercelli,45.3231,8.4153,77.86,68,0,1.81,IT,1626040163
yongan,39.6957,113.6871,65.97,95,100,4.45,CN,1626040163
san patricio,28.017,-97.5169,92.12,65,100,16.4,US,1626040163
ossora,59.2353,163.0719,64.18,59,67,3.18,RU,1626040164
yibin,28.7667,104.6238,74.21,95,25,1.32,CN,1626040164
omboue,-1.5746,9.2618,74.19,89,44,6.42,GA,1626040164
iranshahr,27.2025,60.6848,97.14,41,0,4.61,IR,1626039969
bambanglipuro,-7.95,110.2833,53.6,90,20,4.38,ID,1626040164
iberia,29.9502,-91.7507,90.97,62,20,9.22,US,1626040165
shirvan,39.9509,48.8994,75.24,62,0,1.43,AZ,1626040165
gotsu,35.0,132.2167,74.26,92,100,5.93,JP,1626040165
hayden,47.766,-116.7866,95.97,20,1,8.05,US,1626040165
fairbanks,64.8378,-147.7164,71.1,39,1,0.0,US,1626040166
klaksvik,62.2266,-6.589,52.72,97,100,2.93,FO,1626040166
otavalo,0.2333,-78.2667,61.02,70,74,5.01,EC,1626040166
erzin,36.9559,36.2,79.52,76,0,1.01,TR,1626040166
ulaangom,49.9811,92.0667,59.04,71,33,4.63,MN,1626040167
shubarkuduk,49.1447,56.4872,70.18,55,28,8.12,KZ,1626040167
usinsk,65.9939,57.5281,38.55,82,30,7.61,RU,1626040167
hurghada,27.2574,33.8129,89.64,14,0,10.36,EG,1626040167
los alamos,35.8881,-106.307,79.36,61,40,7.0,US,1626039882
ucluelet,48.9329,-125.5528,87.04,84,11,1.01,CA,1626040168
hasaki,35.7333,140.8333,73.8,84,66,5.73,JP,1626040168
avera,33.194,-82.5271,79.48,57,90,9.46,US,1626040168
orimattila,60.8049,25.7296,68.4,88,35,4.94,FI,1626040168
waipawa,-41.4122,175.5153,38.3,76,100,1.5,NZ,1626040169
codrington,-38.2667,141.9667,48.7,58,55,19.48,AU,1626040169
whitianga,-36.8333,175.7,52.02,75,100,23.98,NZ,1626040169
havre-saint-pierre,50.2334,-63.5986,59.36,88,90,4.61,CA,1626040169
zeya,53.75,127.2667,63.55,66,62,1.07,RU,1626040169
invermere,50.5167,-116.0354,88.27,19,60,4.74,CA,1626040170
emerald,-23.5333,148.1667,50.99,60,0,5.75,AU,1626040170
manakara,-22.1333,48.0167,64.56,91,25,4.52,MG,1626040170
ponta delgada,37.7333,-25.6667,66.92,72,40,9.22,PT,1626040170
iqaluit,63.7506,-68.5145,60.53,48,75,6.91,CA,1626040171
whitehorse,60.7161,-135.0538,57.97,47,90,15.99,CA,1626039915
taunggyi,20.7833,97.0333,62.87,96,60,2.39,MM,1626040171
turukhansk,65.8167,87.9833,41.92,69,38,3.67,RU,1626040171
puerto leguizamo,-0.1934,-74.7819,74.59,90,99,1.86,CO,1626040171
mugur-aksy,50.35,90.5,47.95,80,63,5.21,RU,1626040172
socorro,31.6546,-106.3033,100.9,23,20,6.91,US,1626040172
tessalit,20.1986,1.0114,97.2,21,39,10.89,ML,1626040172
vardo,70.3705,31.1107,51.55,80,22,14.07,NO,1626040172
innisfail,-17.5333,146.0333,66.96,76,100,5.01,AU,1626040173
kavaratti,10.5669,72.642,81.86,79,100,24.63,IN,1626040173
waterfoot,53.6929,-2.2525,62.98,91,100,2.42,GB,1626040173
the valley,18.217,-63.0578,84.34,74,20,21.85,AI,1626040173
lagos,6.5833,3.75,80.92,84,94,5.35,NG,1626040172
abilene,32.4487,-99.7331,87.78,57,75,10.36,US,1626040174
caravelas,-17.7125,-39.2481,69.55,83,0,6.13,BR,1626040174
melton mowbray,52.7659,-0.8869,62.49,15,100,6.11,GB,1626040174
shingu,33.7333,135.9833,77.92,79,100,2.73,JP,1626040174
kulhudhuffushi,6.6221,73.07,81.55,81,100,18.43,MV,1626040175
mhlume,-26.0333,31.85,58.91,62,0,3.67,SZ,1626040175
maunabo,18.0072,-65.8993,84.65,86,100,14.79,PR,1626040175
yulara,-25.2406,130.9889,44.44,65,6,8.05,AU,1626040175
najran,17.4924,44.1277,86.65,19,88,3.22,SA,1626039954
wattegama,6.7989,81.4808,77.92,80,93,6.24,LK,1626040176
port augusta,-32.5,137.7667,42.94,90,8,4.21,AU,1626040176
parainen,60.3067,22.301,67.89,90,6,9.04,FI,1626040176
namli,23.4333,75.05,82.92,73,100,1.83,IN,1626040176
navahrudak,53.6,25.8333,65.95,74,28,4.03,BY,1626040177
college,64.8569,-147.8028,70.59,39,75,0.0,US,1626040177
consett,54.854,-1.8316,61.72,83,100,4.72,GB,1626040177
ibiruba,-28.6275,-53.0897,62.31,76,0,6.24,BR,1626040177
kaseda,31.4167,130.3167,76.23,88,100,1.61,JP,1626040178
garmsar,35.2182,52.3409,90.32,23,0,4.32,IR,1626040178
tucuman,-26.8241,-65.2226,66.2,39,100,3.44,AR,1626040178
eureka,40.8021,-124.1637,101.75,75,28,5.99,US,1626040178
nemuro,43.3236,145.575,58.68,97,100,8.25,JP,1626040178
dauphin,51.1494,-100.0502,87.94,35,1,11.5,CA,1626040179
conceicao do araguaia,-8.2578,-49.2647,89.73,40,0,3.44,BR,1626040179
pochutla,15.7432,-96.4661,87.82,74,99,7.83,MX,1626040179
altay,47.8667,88.1167,62.91,59,100,0.67,CN,1626040179
baykit,61.67,96.37,58.3,91,97,2.26,RU,1626040180
mocuba,-16.8392,36.9856,62.04,97,8,2.37,MZ,1626040180
fort-shevchenko,44.5086,50.263,78.84,55,0,7.29,KZ,1626040180
barraute,48.4335,-77.6328,77.18,43,52,6.4,CA,1626040180
kawalu,-7.3817,108.2082,69.91,94,91,3.4,ID,1626040181
port-gentil,-0.7193,8.7815,76.96,88,75,8.05,GA,1626040181
sulangan,11.1373,123.7228,83.66,75,73,7.58,PH,1626040181
dauriya,49.9333,116.8667,64.62,69,100,8.03,RU,1626040181
cururupu,-1.8283,-44.8683,74.44,96,74,3.02,BR,1626040182
mana,5.6592,-53.7767,79.34,84,30,8.61,GF,1626040182
lesogorsk,56.0458,99.5136,54.41,87,3,1.59,RU,1626040182
dhuwaran,22.2333,72.8,82.76,79,98,0.85,IN,1626040182
lata,40.1629,-8.3327,64.04,87,46,6.67,PT,1626040183
cosala,24.4125,-106.6908,88.41,55,79,5.95,MX,1626040183
labuhan,-6.8844,112.2051,76.37,87,5,8.41,ID,1626040183
devaprayag,30.15,78.6167,79.29,87,97,3.09,IN,1626040183
mecca,21.4267,39.8261,92.28,19,28,7.78,SA,1626039987
hofn,64.2539,-15.2082,52.88,89,11,10.16,IS,1626040184
sulina,45.1559,29.6536,71.85,74,4,8.39,RO,1626040184
akdepe,42.0551,59.3788,78.8,21,0,6.64,TM,1626040184
mount isa,-20.7333,139.5,56.43,37,79,8.52,AU,1626040184
baturyn,51.3457,32.8779,69.4,68,30,5.95,UA,1626040185
sasaram,24.951,84.0149,82.81,82,98,7.72,IN,1626040185
grantham,52.9115,-0.6418,63.32,88,75,6.91,GB,1626040185
karaidel,55.8337,56.9069,53.28,82,58,4.94,RU,1626040185
vologda,59.2187,39.8886,63.14,64,2,5.1,RU,1626040186
opuwo,-18.0607,13.84,59.83,28,60,3.29,NA,1626040186
garowe,8.4054,48.4845,81.46,46,29,28.43,SO,1626040186
prince albert,53.2001,-105.7677,80.55,39,75,16.11,CA,1626039897
chernyshevskiy,63.0128,112.4714,59.27,66,48,2.75,RU,1626040186
udachnyy,66.4167,112.4,46.71,83,85,6.91,RU,1626040186
kieta,-6.2167,155.6333,81.37,80,74,4.34,PG,1626040187
yingcheng,30.95,113.55,89.65,80,100,12.66,CN,1626040187
chesma,53.8111,60.6533,56.66,74,100,12.8,RU,1626040187
pavlodar,52.3,76.95,57.0,82,0,2.24,KZ,1626040187
ust-kalmanka,52.1207,83.305,58.93,93,66,6.2,RU,1626040188
kondinskoye,59.6481,67.41,46.33,73,12,5.57,RU,1626040188
teahupoo,-17.8333,-149.2667,76.96,78,41,20.47,PF,1626040188
port blair,11.6667,92.75,81.37,83,100,14.2,IN,1626040188
espita,21.0167,-88.3167,90.59,45,98,10.74,MX,1626040189
saint-georges,12.0564,-61.7485,80.28,89,40,20.71,GD,1626040189
qeshm,26.9581,56.2719,91.29,85,98,12.93,IR,1626040189
qaqortoq,60.7167,-46.0333,48.7,99,100,4.23,GL,1626040189
pringsewu,-5.3582,104.9744,72.48,98,99,1.52,ID,1626040190
burgos,42.3394,-3.7079,61.21,88,20,10.36,ES,1626040190
anito,12.4497,125.2886,79.68,89,100,5.7,PH,1626040190
tautira,-17.7333,-149.15,82.42,77,34,19.73,PF,1626040190
tiarei,-17.5333,-149.3333,82.42,79,27,20.04,PF,1626040190
casa grande,32.8795,-111.7573,109.27,25,1,3.0,US,1626040182
kuching,1.55,110.3333,75.42,94,40,2.3,MY,1626040191
manaira,-7.7061,-38.1544,72.32,66,98,10.78,BR,1626040191
zhirnovsk,50.9845,44.7735,66.27,66,0,6.15,RU,1626040191
havelock,34.8791,-76.9013,87.75,83,50,7.0,US,1626040191
dunedin,-45.8742,170.5036,44.8,52,89,3.0,NZ,1626040192
magalia,39.8121,-121.5783,108.54,16,0,3.0,US,1626040192
dzilam gonzalez,21.2833,-88.9333,88.14,60,79,13.22,MX,1626040192
umm kaddadah,13.6017,26.6876,86.16,45,99,16.15,SD,1626040192
port moresby,-9.4431,147.1797,74.62,94,20,4.61,PG,1626040193
olinda,-8.0089,-34.8553,74.93,78,75,9.22,BR,1626040193
praia,14.9215,-23.5087,73.94,68,20,12.66,CV,1626040193
sorkjosen,69.8,20.9333,63.07,78,98,3.09,NO,1626040193
sola,-13.8833,167.55,81.27,89,75,4.61,VU,1626040193
danilov,58.1908,40.1717,60.48,71,0,2.04,RU,1626040194
stillwater,36.1156,-97.0584,83.84,61,75,1.99,US,1626040194
banda aceh,5.5577,95.3222,79.23,70,97,12.48,ID,1626040194
alyangula,-13.8483,136.4192,64.27,94,99,0.0,AU,1626040194
abeche,13.8292,20.8324,79.72,64,93,21.94,TD,1626040195
vytegra,61.0064,36.4481,63.57,89,4,6.8,RU,1626040195
saquarema,-22.92,-42.5103,71.62,86,0,6.02,BR,1626040195
tuni,17.35,82.55,79.48,87,79,5.41,IN,1626040196
missoula,47.0166,-113.8009,87.53,16,0,11.61,US,1626039969
nipawin,53.3668,-104.0009,82.44,47,75,2.3,CA,1626039915
lillooet,50.6856,-121.942,84.92,26,14,2.17,CA,1626040196
baherden,38.4362,57.4316,82.38,28,72,3.24,TM,1626040196
srandakan,-7.9386,110.2506,53.73,90,19,4.29,ID,1626040196
marawi,7.9986,124.2928,66.65,93,42,3.15,PH,1626040197
savannakhet,16.566,104.751,74.59,91,36,3.47,LA,1626040197
langsa,4.4683,97.9683,73.76,94,100,3.33,ID,1626040197
madisonville,37.3281,-87.4989,81.03,75,84,1.99,US,1626040197
yima,34.7381,111.8839,73.04,89,0,5.61,CN,1626040198
santiago del estero,-27.7951,-64.2615,64.8,62,100,1.66,AR,1626040198
caranavi,-15.8167,-67.55,67.75,76,40,2.19,BO,1626040198
impfondo,1.6381,18.0667,72.37,87,81,2.21,CG,1626040198
lazaro cardenas,17.9583,-102.2,85.32,71,80,7.36,MX,1626040199
wangaratta,-36.3667,146.3333,43.3,100,40,0.0,AU,1626040199
san francisco,37.7749,-122.4194,100.78,74,45,5.99,US,1626040073
sepuka,-4.75,34.5333,61.86,60,19,11.23,TZ,1626040199
batagay-alyta,67.8006,130.4114,40.03,90,100,4.21,RU,1626040199
xiongzhou,25.1167,114.3,76.46,90,76,2.71,CN,1626040200
inirida,3.8653,-67.9239,79.34,89,80,1.88,CO,1626040200
harper,4.375,-7.7169,76.28,79,28,8.84,LR,1626040200
kununurra,-15.7667,128.7333,55.38,88,21,0.0,AU,1626040200
verkh-usugli,52.7,115.1667,55.47,82,99,0.65,RU,1626040200
tura,25.5198,90.2201,75.67,83,98,2.68,IN,1626040201
sur,22.5667,59.5289,89.08,61,59,4.7,OM,1626040201
guilin,25.2819,110.2864,77.11,93,78,2.08,CN,1626040201
williams lake,52.1415,-122.1445,79.23,29,20,4.0,CA,1626039916
kupang,-10.1667,123.5833,73.98,88,20,8.05,ID,1626040202
la orilla,17.9833,-102.2333,85.03,71,85,7.47,MX,1626040202
gull lake,50.1001,-108.4847,86.36,33,12,23.22,CA,1626040203
ayr,55.4627,-4.6339,62.58,82,40,4.61,GB,1626040203
buinsk,54.95,48.2833,64.29,67,0,7.63,RU,1626040204
la ronge,55.1001,-105.2842,82.65,30,40,9.22,CA,1626040204
katangli,51.7102,143.2326,61.23,93,94,3.74,RU,1626040205
junction city,39.0286,-96.8314,82.62,47,1,3.0,US,1626040205
nelson bay,-32.7167,152.15,48.96,79,92,4.14,AU,1626040205
mahibadhoo,3.7833,72.9667,82.18,78,100,13.49,MV,1626040205
okahandja,-21.9833,16.9167,57.51,29,0,7.4,NA,1626040206
lundazi,-12.2929,33.1782,56.17,79,18,5.82,ZM,1626040206
langxiang,46.95,128.8833,70.72,91,68,1.74,CN,1626040206
grindavik,63.8424,-22.4338,55.56,100,90,14.97,IS,1626040206
abnub,27.2696,31.1511,88.02,22,44,6.51,EG,1626040207
neuquen,-38.9516,-68.0591,55.29,35,0,4.61,AR,1626040207
novopokrovka,49.8425,36.5477,77.38,86,49,5.5,UA,1626040207
darnah,32.767,22.6367,77.68,73,0,14.99,LY,1626040207
aswan,24.0934,32.907,91.6,23,17,8.28,EG,1626040208
nongan,44.382,125.1685,75.61,88,72,8.3,CN,1626040208
daru,-9.0763,143.2092,78.13,90,30,14.2,PG,1626040208
de-kastri,51.4667,140.7833,62.26,98,100,2.64,RU,1626040208
